State,Name,Year,percent,lon,lat
NSW,New South Wales,2008,3.093662032,146.3,327.8
NSW,New South Wales,2009,5.336395026,146.3,327.8
NSW,New South Wales,2010,5.925314363,146.3,327.8
NSW,New South Wales,2011,6.67007498,146.3,327.8
NSW,New South Wales,2012,8.571102986,146.3,327.8
NSW,New South Wales,2013,8.176741109,146.3,327.8
NSW,New South Wales,2014,8.66262298,146.3,327.8
NSW,New South Wales,2015,11.69112839,146.3,327.8
NSW,New South Wales,2016,12.52911412,146.3,327.8
NSW,New South Wales,2017,13.38447125,146.3,327.8
NSW,New South Wales,2018,15.57134185,146.3,327.8
NSW,New South Wales,2019,18.96794199,146.3,327.8
VIC,Victoria,2008,5.504081926,145,323
VIC,Victoria,2009,6.567604912,145,323
VIC,Victoria,2010,10.08597643,145,323
VIC,Victoria,2011,8.664720619,145,323
VIC,Victoria,2012,12.15930809,145,323
VIC,Victoria,2013,12.76790475,145,323
VIC,Victoria,2014,12.30160718,145,323
VIC,Victoria,2015,14.82009712,145,323
VIC,Victoria,2016,16.51911996,145,323
VIC,Victoria,2017,18.90022429,145,323
VIC,Victoria,2018,21.89510664,145,323
VIC,Victoria,2019,24.52468612,145,323
QLD,Queensland,2008,3.884591417,144.5,336
QLD,Queensland,2009,3.47606583,144.5,336
QLD,Queensland,2010,3.606198792,144.5,336
QLD,Queensland,2011,4.140303931,144.5,336
QLD,Queensland,2012,5.207971082,144.5,336
QLD,Queensland,2013,6.292108469,144.5,336
QLD,Queensland,2014,6.044814126,144.5,336
QLD,Queensland,2015,6.46307666,144.5,336
QLD,Queensland,2016,6.497350661,144.5,336
QLD,Queensland,2017,7.053662645,144.5,336
QLD,Queensland,2018,10.77080949,144.5,336
QLD,Queensland,2019,14.4166371,144.5,336
WA,Western Australia,2008,2.933824829,122,333.5
WA,Western Australia,2009,2.920727565,122,333.5
WA,Western Australia,2010,3.22164545,122,333.5
WA,Western Australia,2011,5.373827436,122,333.5
WA,Western Australia,2012,6.133248383,122,333.5
WA,Western Australia,2013,6.619995476,122,333.5
WA,Western Australia,2014,6.940396543,122,333.5
WA,Western Australia,2015,6.652978391,122,333.5
WA,Western Australia,2016,7.462510507,122,333.5
WA,Western Australia,2017,7.749002845,122,333.5
WA,Western Australia,2018,8.973118958,122,333.5
WA,Western Australia,2019,10.25559528,122,333.5
SA,South Australia,2008,14.4241949,135,330.3
SA,South Australia,2009,15.35065064,135,330.3
SA,South Australia,2010,21.8552359,135,330.3
SA,South Australia,2011,26.84561015,135,330.3
SA,South Australia,2012,29.48539016,135,330.3
SA,South Australia,2013,37.47315637,135,330.3
SA,South Australia,2014,39.85443001,135,330.3
SA,South Australia,2015,41.25040503,135,330.3
SA,South Australia,2016,46.96276501,135,330.3
SA,South Australia,2017,46.80099268,135,330.3
SA,South Australia,2018,50.40115121,135,330.3
SA,South Australia,2019,54.96239182,135,330.3
TAS,Tasmania,2008,91.04592193,151.4,318
TAS,Tasmania,2009,88.18049287,151.4,318
TAS,Tasmania,2010,86.17219756,151.4,318
TAS,Tasmania,2011,84.71166615,151.4,318
TAS,Tasmania,2012,86.3477015,151.4,318
TAS,Tasmania,2013,92.82329256,151.4,318
TAS,Tasmania,2014,98.44311345,151.4,318
TAS,Tasmania,2015,90.83282162,151.4,318
TAS,Tasmania,2016,91.32937292,151.4,318
TAS,Tasmania,2017,91.44589663,151.4,318
TAS,Tasmania,2018,94.58318256,151.4,318
TAS,Tasmania,2019,98.13920852,151.4,318
NT,Northern Territory,2008,0.331918971,133.5,339
NT,Northern Territory,2009,0.41327374,133.5,339
NT,Northern Territory,2010,0.46264842,133.5,339
NT,Northern Territory,2011,0.552802135,133.5,339
NT,Northern Territory,2012,0.706010138,133.5,339
NT,Northern Territory,2013,0.961245768,133.5,339
NT,Northern Territory,2014,1.478276305,133.5,339
NT,Northern Territory,2015,1.912919595,133.5,339
NT,Northern Territory,2016,2.91960554,133.5,339
NT,Northern Territory,2017,3.558160691,133.5,339
NT,Northern Territory,2018,3.574172806,133.5,339
NT,Northern Territory,2019,4.204011128,133.5,339