Country,Year,%RenewableEnergy,CO2_Produced,Population,Continent,Norm_CO2
Algeria,2019,0.273,171.707,43851043,Africa,3.915687935
Argentina,2019,13.556,178.94,45195777,South America,3.959219464
Australia,2019,24.567,411.016,25499881,Oceania,16.11834973
Austria,2019,33.702,68.495,9006400,Europe,7.605147451
Azerbaijan,2019,2.48,39.82,10139175,Europe,3.927341228
Bangladesh,2019,0.637,102.162,164689383,Asia,0.620331427
Belarus,2019,0.56,62.484,9449321,Europe,6.612538615
Belgium,2019,6.937,99.709,11589616,Europe,8.603304889
Brazil,2019,45.017,465.716,212559409,South America,2.190992166
Bulgaria,2019,9.203,42.006,6948445,Europe,6.045381377
Canada,2019,27.638,576.651,37742157,North America,15.27869751
Chile,2019,22.851,84.267,19116209,South America,4.408143895
China,2019,12.665,10174.681,1439323774,Asia,7.06907034
Colombia,2019,24.986,102.202,50882884,South America,2.008573256
Croatia,2019,21.537,17.882,4105268,Europe,4.355866657
Cyprus,2019,3.926,7.316,875899,Europe,0.8352561197
Czechia,2019,5.183,101.01,10708982,Europe,9.432269099
Denmark,2019,30.163,32.075,5792203,Europe,5.537616689
Ecuador,2019,30.387,40.54,17643060,South America,2.297787345
Egypt,2019,4.556,246.643,102334403,Africa,2.410166989
Estonia,2019,7.296,13.888,1326539,Europe,10.46934919
Finland,2019,26.148,41.653,5540718,Europe,7.517617753
France,2019,11.733,323.747,65273512,Europe,4.959852628
Germany,2019,17.485,701.955,83783945,Europe,8.378156459
Greece,2019,12.112,67.184,10423056,Europe,6.445710356
Hungary,2019,4.017,49.101,9660350,Europe,5.082735098
Iceland,2019,79.08,3.322,341250,Europe,0.9734798535
India,2019,7.781,2616.449,1380004385,Asia,1.895971512
Indonesia,2019,6.09,617.513,273523621,Asia,2.257622204
Iran,2019,2.132,779.527,83992953,Asia,9.280861931
Iraq,2019,1.015,221.384,40222503,Asia,5.503983678
Ireland,2019,15.45,37.118,4937796,Europe,7.517118974
Israel,2019,2.302,64.172,8655541,Asia,7.413979092
Italy,2019,16.29,337.086,60461828,Europe,5.575187042
Japan,2019,9.313,1106.664,126476458,Asia,8.749960408
Kazakhstan,2019,3.1,313.798,18776707,Asia,16.71208908
Kuwait,2019,0.087,107.532,4270563,Asia,25.17981821
Latvia,2019,18.18,8.262,1886202,Europe,4.380230749
Lithuania,2019,8.88,13.483,2722291,Europe,4.952813641
Luxembourg,2019,4.061,9.785,625976,Europe,1.563158971
Malaysia,2019,6.009,250.095,32365998,Asia,7.727090634
Mexico,2019,7.219,438.498,128932753,North America,3.400982216
Morocco,2019,7.086,71.929,36910558,Africa,1.948737811
Netherlands,2019,6.54,154.827,17134873,Europe,9.035783341
New Zealand,2019,35.4,36.541,4822233,Oceania,7.577609792
North Macedonia,2019,10.707,8.041,2083380,Europe,3.859593545
Norway,2019,66.18,42.441,5421242,Europe,7.828648859
Oman,2019,0.002,71.685,5106622,Asia,14.03765542
Pakistan,2019,10.638,248.844,220892331,Asia,1.126539789
Peru,2019,27.329,54.533,32971846,South America,1.653926201
Philippines,2019,10.542,144.263,109581085,Asia,1.316495452
Poland,2019,6.182,322.626,37846605,Europe,8.524569113
Portugal,2019,24.454,48.598,10196707,Europe,4.76604849
Qatar,2019,0.054,109.345,2881060,Asia,37.95304506
Romania,2019,15.902,75.084,19237682,Europe,3.902965025
Russia,2019,5.868,1678.367,145934460,Europe,11.50082715
Saudi Arabia,2019,0.144,582.15,34813867,Asia,16.72178503
Singapore,2019,0.239,38.945,5850343,Asia,6.656874648
Slovakia,2019,8.344,33.315,5459643,Europe,6.102047332
Slovenia,2019,15.738,13.696,2078932,Europe,6.587998068
South Africa,2019,2.21,478.608,59308690,Africa,8.069778645
Spain,2019,16.968,252.683,46754783,Europe,5.404431029
Sri Lanka,2019,14.052,24.841,21413250,Asia,1.160076121
Sweden,2019,42.237,42.767,10099270,Europe,4.234662505
Switzerland,2019,30.642,37.682,8654618,Europe,4.353976108
Taiwan,2019,2.51,262.639,23816775,Asia,11.02747958
Thailand,2019,6.185,288.28,69799978,Asia,4.130087262
Trinidad and Tobago,2019,0.006,37.864,1399491,North America,27.05555091
Turkey,2019,18.473,405.126,84339067,Asia,4.803539029
Ukraine,2019,3.107,223.229,43733759,Europe,5.104271965
United Arab Emirates,2019,0.771,190.683,9890400,Asia,19.27960446
United Kingdom,2019,14.454,369.878,67886004,Europe,5.44851631
United States,2019,8.712,5284.697,331002647,North America,15.96572429
Uzbekistan,2019,3.25,110.246,33469199,Asia,3.293953943
Venezuela,2019,25.391,116.688,28435943,South America,4.103538961
Vietnam,2019,15.216,247.709,97338583,Asia,2.544818225